City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Fillmore,US,75.2,clear sky,43.6666,-92.1002,Country Trails Inn & Suites
3,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
8,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
11,Rikitea,PF,76.98,light rain,-23.1203,-134.9692,Pension Maro'i
12,Maumere,ID,78.26,heavy intensity rain,-8.6199,122.2111,Sylvia Hotel
13,Manacapuru,BR,89.6,scattered clouds,-3.2997,-60.6206,Novo Hotel
17,Eyl,SO,81.01,clear sky,7.9803,49.8164,Amiin Hotel
21,Butaritari,KI,81.68,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
22,Gouyave,GD,84.2,few clouds,12.1646,-61.7296,Rumboat Retreat
23,Pisco,PE,78.8,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
25,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
32,Pochutla,MX,90.0,few clouds,15.7432,-96.4661,Hotel Posada San Jose
33,Chak Azam Sahu,PK,76.69,overcast clouds,30.75,73.0333,Kot Ghazi khan
38,Jalpan,MX,77.76,overcast clouds,21.2333,-99.4833,Hotel Mision Jalpan
39,Georgetown,MY,84.0,moderate rain,5.4112,100.3354,Cititel Penang
42,Minab,IR,78.8,haze,27.1467,57.0801,Bam campground
45,Souillac,MU,81.0,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
48,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
52,Singaraja,ID,79.52,light rain,-8.112,115.0882,Puri Bagus Lovina Resort
54,Urucara,BR,87.91,overcast clouds,-2.5364,-57.76,Hotel japa
56,Ilhabela,BR,76.03,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
64,Kalmunai,LK,78.96,broken clouds,7.4167,81.8167,VS Villa
65,Mahebourg,MU,81.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
69,Arraial Do Cabo,BR,84.2,few clouds,-22.9661,-42.0278,Pousada Porto Praia
79,Magnolia,US,75.0,broken clouds,33.2671,-93.2393,Budget Inn
82,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Nouakchott,MR,80.6,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
88,Biltine,TD,89.26,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
89,Januaria,BR,83.08,broken clouds,-15.4833,-44.3667,Hotel Paraguassu
96,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
101,Kisangani,CD,75.97,overcast clouds,0.5167,25.2,Grand Ramela Hotel
107,Hithadhoo,MV,83.82,overcast clouds,-0.6,73.0833,Scoop Guest House
109,Grand Baie,MU,81.0,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
110,Dingle,PH,75.15,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
113,Saint-Philippe,RE,80.6,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
121,Namatanai,PG,77.79,light rain,-3.6667,152.4333,Namatanai Hotel
122,Bambous Virieux,MU,81.0,few clouds,-20.3428,57.7575,Casa Tia Villa
124,Vaini,TO,75.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
126,San Vicente,AR,77.94,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
127,Lorengau,PG,79.75,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
130,Kavaratti,IN,82.36,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
133,Tecoanapa,MX,86.4,clear sky,16.5167,-98.75,Hotel Manglares
139,Bandarbeyla,SO,79.52,scattered clouds,9.4942,50.8122,JABIR HOTEL
143,Wewak,PG,77.83,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
145,Cap Malheureux,MU,81.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
146,Surt,LY,75.11,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
148,Hambantota,LK,75.2,clear sky,6.1241,81.1185,Bungalow 63
152,Luis Correia,BR,84.2,scattered clouds,-2.8792,-41.6669,Hotel Amarração
155,Tawau,MY,77.0,few clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
160,Belmonte,BR,86.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
161,Saint George,US,79.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
164,Moron,AR,78.8,few clouds,-34.6534,-58.6198,Hotel Morón
167,Progreso,MX,84.2,broken clouds,21.2833,-89.6667,Playa Linda Hotel
169,Faanui,PF,81.41,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
170,Cayenne,GF,82.4,light rain,4.9333,-52.3333,Hôtel Le Dronmi
172,Lazaro Cardenas,MX,84.92,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
175,Lamu,KE,84.2,clear sky,-2.2717,40.902,Lamu House
178,Mogadishu,SO,82.33,overcast clouds,2.0371,45.3438,Olympic Hotel
179,Honiara,SB,77.88,scattered clouds,-9.4333,159.95,Heritage Park Hotel
