,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Luderitz,NA,-26.6481,15.1594,70.27,68,0,18.12,clear sky
1,Ushuaia,AR,-54.8,-68.3,48.2,53,20,3.44,few clouds
2,Fillmore,US,43.6666,-92.1002,75.2,20,1,23.02,clear sky
3,Avarua,CK,-21.2078,-159.775,82.4,78,75,14.97,light rain
4,Saskylakh,RU,71.9167,114.0833,-26.91,100,25,3.4,scattered clouds
5,Busselton,AU,-33.65,115.3333,62.01,92,0,1.01,clear sky
6,Nikolskoye,RU,59.7035,30.7861,42.01,75,75,8.95,broken clouds
7,Leh,IN,34.1667,77.5833,36.32,69,98,3.58,light rain
8,Saint-Pierre,RE,-21.3393,55.4781,78.8,78,0,4.61,clear sky
9,Nanortalik,GL,60.1432,-45.2371,37.35,83,13,7.94,few clouds
10,Sisimiut,GL,66.9395,-53.6735,26.04,69,100,7.43,light snow
11,Rikitea,PF,-23.1203,-134.9692,76.98,69,100,16.58,light rain
12,Maumere,ID,-8.6199,122.2111,78.26,85,100,5.79,heavy intensity rain
13,Manacapuru,BR,-3.2997,-60.6206,89.6,62,40,11.5,scattered clouds
14,Maralal,KE,1.0968,36.698,62.96,80,73,6.71,light rain
15,Robat Karim,IR,35.4846,51.0829,59.0,21,0,6.91,clear sky
16,Albany,US,42.6001,-73.9662,57.0,27,14,1.99,few clouds
17,Eyl,SO,7.9803,49.8164,81.01,74,8,9.17,clear sky
18,Punta Arenas,CL,-53.15,-70.9167,50.0,50,0,18.41,clear sky
19,Khatanga,RU,71.9667,102.5,-13.63,88,10,8.3,clear sky
20,Mataura,NZ,-46.1927,168.8643,57.0,73,100,11.99,overcast clouds
21,Butaritari,KI,3.0707,172.7902,81.68,80,100,14.25,overcast clouds
22,Gouyave,GD,12.1646,-61.7296,84.2,65,20,17.27,few clouds
23,Pisco,PE,-13.7,-76.2167,78.8,61,0,10.36,clear sky
24,New Norfolk,AU,-42.7826,147.0587,55.0,67,44,1.01,scattered clouds
25,Kapaa,US,22.0752,-159.319,75.2,60,75,18.41,broken clouds
26,Taoudenni,ML,22.6783,-3.9836,92.95,11,98,12.17,overcast clouds
27,Yellowknife,CA,62.456,-114.3525,19.99,53,20,8.05,few clouds
28,Tinskoy,RU,56.1525,96.9161,32.94,99,100,2.77,overcast clouds
29,Khonsa,IN,27.0167,95.5667,62.76,41,0,4.29,clear sky
